aaaaaaaaaaaaa,2017-02-11,nam,14354,cccc@gmail.com
bbbbbbbbb,2017-02-11,nam,143444354,bbbbbbbb@gmail.com
aaaaaaaaaaaaa,2017-02-11,nam,14354,cccc@gmail.com
bbbbbbbbb,2017-02-11,nam,143444354,bbbbbbbb@gmail.com
aaaaaaaaaaaaa,2017-02-11,nam,14354,cccc@gmail.com
bbbbbbbbb,2017-02-11,nam,143444354,bbbbbbbb@gmail.com
aaaaaaaaaaaaa,2017-02-11,nam,14354,cccc@gmail.com
bbbbbbbbb,2017-02-11,nam,143444354,bbbbbbbb@gmail.com
aaaaaaaaaaaaa,2017-02-11,nam,14354,cccc@gmail.com
bbbbbbbbb,2017-02-11,nam,143444354,bbbbbbbb@gmail.com
aaaaaaaaaaaaa,2017-02-11,nam,14354,cccc@gmail.com
bbbbbbbbb,2017-02-11,nam,143444354,bbbbbbbb@gmail.com
xxxxxxxxxxxxxx,2017-02-09,nu,122222222222222,mail@email.com
,,,,
xxxxxxxxxxxxxx,2017-02-03,nu,33333333333333,mail@email.com
qqqqq,,nam,,
